Title,Year,Rating,Runtime,Critic.Score,Box.Office,Award
Thor: The Dark World,2013,PG-13,112,65,206.4,FALSE
The Armstrong Lie,2013,R,124,84,0.4,TRUE
The Best Man Holiday,2013,R,123,68,70.5,FALSE
The Christmas Candle,2013,PG,100,18,2.2,FALSE
Kids for Cash,2013,PG-13,102,91,0.0366,TRUE
"No God, No Master",2013,PG-13,94,69,0.0068,FALSE
Pawn Shop Chronicles,2013,R,112,13,0.0049,FALSE
Delivery Man,2013,PG-13,105,39,30.7,TRUE
Dallas Buyers Club,2013,R,117,93,27.3,FALSE
The Hunger Games: Catching Fire,2013,PG-13,146,89,424.6,FALSE
Frozen,2013,PG,102,89,400.7,TRUE
The Book Thief,2013,PG-13,131,46,21.5,TRUE
Oldboy,2013,R,104,41,2.2,FALSE
Black Nativity,2013,PG,93,48,7,TRUE
Homefront,2013,R,100,42,20.1,FALSE
Concussion,2013,R,96,74,0.0384,FALSE
Out of the Furnace,2013,R,116,53,11.3,FALSE
I'm in Love with a Church Girl,2013,PG,118,6,2.4,FALSE
Afternoon Delight,2013,R,98,67,0.2,TRUE
The Hobbit: The Desolation of Smaug,2013,PG-13,161,74,258.4,FALSE
Tyler Perry's A Madea Christmas,2013,PG-13,100,18,52.5,FALSE
Anchorman 2: The Legend Continues,2013,R,119,75,127.3,TRUE
Saving Mr. Banks,2013,PG-13,125,80,83.3,FALSE
American Hustle,2013,R,138,93,150.1,FALSE
Walking with Dinosaurs 3D,2013,PG,87,24,3.5,FALSE
The Secret Life of Walter Mitty,2013,PG,114,50,58.2,FALSE
47 Ronin,2013,PG-13,118,15,38.3,FALSE
The Wolf of Wall Street,2013,R,180,77,116.9,FALSE
Cold Comes the Night,2013,R,90,44,0.0116,TRUE
Her,2013,R,126,94,25.6,TRUE
Lone Survivor,2013,R,121,75,125.1,TRUE
After Tiller,2013,PG-13,85,94,0.0663,TRUE
August: Osage County,2013,R,121,64,37.7,FALSE
Inside Llewyn Davis,2013,R,104,94,13.2,FALSE
The Unknown Known,2013,PG-13,103,83,0.1,FALSE
Raze,2013,R,92,45,0.0035,FALSE
I Spit on Your Grave 2,2013,R,106,0,0.000441,TRUE
Nebraska,2013,R,115,91,17.6,FALSE
Labor Day,2013,PG-13,111,34,13.4,TRUE
At Middleton,2013,R,99,58,0.0529,TRUE
The Pretty One,2013,R,90,47,0.0112,TRUE
Adult World,2013,R,97,56,0.0167,TRUE
Hell Baby,2013,R,98,32,0.005,TRUE
Touchy Feely,2013,R,89,36,0.036,FALSE
Twenty Feet from Stardom,2013,PG-13,91,99,4.9,FALSE
Under the Skin,2013,R,108,85,2.6,FALSE
Narco Cultura,2013,R,103,86,0.1,FALSE
Bad Words,2013,R,89,65,7.8,FALSE
The Retrieval,2013,R,92,92,0.0503,FALSE
In Secret,2013,R,107,41,0.4,TRUE
Fading Gigolo,2013,R,90,54,3.8,FALSE
Joe,2013,R,117,86,0.4,FALSE
Oculus,2013,R,104,73,27.7,FALSE
Make Your Move,2013,PG-13,110,43,0.1,FALSE
Locke,2013,R,85,91,1.4,FALSE
Night Moves,2013,R,112,85,0.3,FALSE
Filth,2013,R,97,62,0.0343,TRUE
Savannah,2013,PG-13,101,8,0.0367,FALSE
The Sacrament,2013,R,99,62,0.009,TRUE
Decoding Annie Parker,2013,R,91,58,0.0398,TRUE
Legends of Oz: Dorothy's Return,2013,PG,88,16,8.5,FALSE
Palo Alto,2013,R,100,73,0.8,FALSE
Chinese Puzzle,2013,R,117,75,0.3,FALSE
Words and Pictures,2013,PG-13,111,42,2.2,FALSE
The Immigrant,2013,R,120,88,2,FALSE
Supermensch: The Legend of Shep Gordon,2013,R,85,77,0.2,TRUE
Hateship Loveship,2013,R,104,50,0.0506,TRUE
Jodorowsky's Dune,2013,PG-13,88,98,0.6,TRUE
The Art of the Steal,2013,R,90,44,0.0614,FALSE
Snowpiercer,2013,R,126,95,4.6,FALSE
InAPPropriate Comedy,2013,R,83,0,0.2,TRUE
Jake Squared,2013,R,100,14,0.0017,FALSE
Knights of Badassdom,2013,R,86,58,0.0868,FALSE
The Zero Theorem,2013,R,107,52,0.3,FALSE
Child of God,2013,R,104,38,0.0379,TRUE
Life of Crime,2013,R,98,64,0.3,FALSE
Girl Rising,2013,PG-13,101,89,0.8,TRUE
Repentance,2013,R,90,0,1.2,FALSE
The Disappearance of Eleanor Rigby: Him,2013,R,89,63,0.6,TRUE
Jimi: All Is by My Side,2013,R,118,66,0.3,FALSE
Gimme Shelter,2013,PG-13,101,22,1.4,FALSE
Third Person,2013,R,137,23,1,FALSE
The Last of Robin Hood,2013,R,94,29,0.3,FALSE
Afflicted,2013,R,85,79,0.1,TRUE
Inequality for All,2013,PG,89,90,1.2,FALSE
Paranormal Activity: The Marked Ones,2014,R,84,37,32.4,FALSE
3 Nights in the Desert,2014,R,90,40,0.0013,TRUE
The Legend of Hercules,2014,PG-13,99,3,18.8,TRUE
Jack Ryan: Shadow Recruit,2014,PG-13,105,56,50.5,TRUE
Devil's Due,2014,R,89,18,15.8,FALSE
Ride Along,2014,PG-13,99,18,134.1,FALSE
The Nut Job,2014,PG,85,10,64.2,TRUE
Fed Up,2014,PG,92,81,1.5,FALSE
Land Ho!,2014,R,95,80,0.7,FALSE
That Awkward Moment,2014,R,94,23,26,FALSE
The Lego Movie,2014,PG,100,96,257.8,FALSE
Vampire Academy,2014,PG-13,104,9,7.8,FALSE
The Monuments Men,2014,PG-13,118,31,78,FALSE
RoboCop,2014,PG-13,117,49,58.6,TRUE
Winter's Tale,2014,PG-13,118,13,12.6,FALSE
Endless Love,2014,PG-13,104,15,23.4,FALSE
About Last Night,2014,R,100,68,48.6,TRUE
3 Days to Kill,2014,PG-13,117,28,30.7,TRUE
Pompeii,2014,PG-13,105,28,23.2,TRUE
Non-Stop,2014,PG-13,106,60,91.7,TRUE
Son of God,2014,PG-13,138,21,59.7,TRUE
Mr. Peabody & Sherman,2014,PG,92,79,111.5,FALSE
300: Rise of an Empire,2014,R,102,42,106.6,FALSE
The Great Invisible,2014,PG-13,92,90,0.01,FALSE
Take Me to the River,2014,PG,95,70,0.0686,FALSE
Veronica Mars,2014,PG-13,107,78,3.3,FALSE
Need for Speed,2014,PG-13,132,22,43.6,FALSE
The Single Moms Club,2014,PG-13,111,16,16,TRUE
The Bag Man,2014,R,108,10,0.0488,FALSE
Divergent,2014,PG-13,139,40,150.8,FALSE
50 to 1,2014,PG-13,110,17,1.1,TRUE
Muppets Most Wanted,2014,PG,107,78,51.2,FALSE
God's Not Dead,2014,PG,113,16,60.8,TRUE
Noah,2014,PG-13,138,77,101.2,FALSE
Sabotage,2014,R,109,19,10.5,TRUE
Cesar Chavez,2014,PG-13,102,41,5.6,FALSE
Captain America: The Winter Soldier,2014,PG-13,136,89,259.7,TRUE
13 Sins,2014,R,93,62,0.0091,TRUE
Draft Day,2014,R,110,61,28.8,FALSE
Rio 2,2014,G,101,48,131.5,TRUE
The Raid 2,2014,R,150,79,2.6,FALSE
Jinn,2014,PG-13,97,10,0.1,TRUE
Heaven Is for Real,2014,PG,99,46,91.4,FALSE
A Haunted House 2,2014,R,86,8,17.3,FALSE
Transcendence,2014,PG-13,119,19,23,TRUE
Bears,2014,G,78,89,17.8,TRUE
Ballet 422,2014,PG,75,86,0.3,FALSE
Glen Campbell: I'll Be Me,2014,PG,116,100,0.4,FALSE
Two-Bit Waltz,2014,R,81,0,0.0021,TRUE
The Quiet Ones,2014,PG-13,98,36,8.5,FALSE
The Other Woman,2014,PG-13,109,23,83.9,FALSE
The M Word,2014,R,117,38,0.1,TRUE
Walk of Shame,2014,R,95,12,0.0398,FALSE
The Amazing Spider-Man 2,2014,PG-13,142,53,202.9,FALSE
Moms' Night Out,2014,PG,98,18,10.4,FALSE
The Hornet's Nest,2014,R,93,76,0.3,FALSE
Neighbors,2014,R,97,73,150.1,FALSE
Million Dollar Arm,2014,PG,124,62,36.4,FALSE
Godzilla,2014,PG-13,123,74,200.7,TRUE
Blended,2014,PG-13,117,14,46.3,TRUE
X-Men: Days of Future Past,2014,PG-13,132,91,233.9,FALSE
A Million Ways to Die in the West,2014,R,116,33,42.6,FALSE
Maleficent,2014,PG,97,49,241.4,FALSE
Edge of Tomorrow,2014,PG-13,113,90,100.1,TRUE
The Fault in Our Stars,2014,PG-13,126,81,124.9,TRUE
22 Jump Street,2014,R,112,85,191.7,TRUE
Hellion,2014,R,99,60,0.0461,FALSE
How to Train Your Dragon 2,2014,PG,102,92,177,FALSE
Think Like a Man Too,2014,PG-13,106,23,65.2,TRUE
Jersey Boys,2014,R,134,52,47,FALSE
The Rover,2014,R,103,65,1.1,FALSE
The Homesman,2014,R,122,82,2.4,FALSE
The Living,2014,R,89,43,0.0054,FALSE
Happy Christmas,2014,R,82,75,0.0289,TRUE
Whitey: United States of America v. James J. Bulger,2014,R,107,80,0.0756,TRUE
Transformers: Age of Extinction,2014,PG-13,165,18,245.4,FALSE
Deliver Us from Evil,2014,R,118,28,30.6,TRUE
Earth to Echo,2014,PG,91,48,38.9,TRUE
America: Imagine the World Without Her,2014,PG-13,105,8,14.4,TRUE
Tammy,2014,R,97,23,84.5,TRUE
Life Itself,2014,R,120,97,0.8,FALSE
The Signal,2014,PG-13,97,58,4.7,FALSE
Dawn of the Planet of the Apes,2014,PG-13,130,90,5.1,FALSE
Life After Beth,2014,R,89,45,0.0573,FALSE
Sex Tape,2014,R,94,17,38.5,FALSE
Persecuted,2014,PG-13,91,0,1.6,FALSE
The Purge: Anarchy,2014,R,103,56,71.5,FALSE
The Fluffy Movie: Unity Through Laughter,2014,PG-13,101,54,2.8,FALSE
Wish I Was Here,2014,R,106,46,3.6,FALSE
Come Back to Me,2014,R,90,20,0.0042,FALSE
Hercules,2014,PG-13,98,60,72.7,FALSE
Rob the Mob,2014,R,104,84,0.2,FALSE
Frontera,2014,PG-13,103,52,0.0593,FALSE
Guardians of the Galaxy,2014,PG-13,121,91,333.2,TRUE
The One I Love,2014,R,91,80,0.5,TRUE
God's Pocket,2014,R,88,36,0.1,FALSE
Teenage Mutant Ninja Turtles,2014,PG-13,101,21,191.2,TRUE
Step Up All In,2014,PG-13,112,43,14.9,FALSE
Into the Storm,2014,PG-13,89,22,47.6,FALSE
The Hundred-Foot Journey,2014,PG,122,68,54.2,TRUE
Let's Be Cops,2014,R,104,18,82.4,TRUE
Boyhood,2014,R,165,98,25.4,FALSE
The Expendables 3,2014,PG-13,126,33,39.3,FALSE
Deepsea Challenge 3D,2014,PG,90,67,0.1,TRUE
If I Stay,2014,PG-13,107,36,50.5,FALSE
The November Man,2014,R,108,35,25,FALSE
The Two Faces of January,2014,PG-13,96,82,0.5,FALSE
Obvious Child,2014,R,84,90,3.1,FALSE
Barefoot,2014,PG-13,90,14,0.0118,FALSE
The Identical,2014,PG,107,7,2.8,FALSE
Island of Lemurs: Madagascar,2014,G,39,80,9.8,TRUE
The Skeleton Twins,2014,R,93,87,5.3,TRUE
Honeymoon,2014,R,87,70,0.0092,FALSE
Pump,2014,PG,88,75,0.0735,TRUE
The Drop,2014,R,106,89,10.7,TRUE
Atlas Shrugged: Who Is John Galt?,2014,PG-13,99,0,0.8,FALSE
Dolphin Tale 2,2014,PG,107,67,42,FALSE
No Good Deed,2014,PG-13,84,10,52.5,TRUE
This Is Where I Leave You,2014,R,103,41,34.3,TRUE
The Maze Runner,2014,PG-13,113,63,102.4,FALSE
I Origins,2014,R,106,52,5,FALSE
The Remaining,2014,PG-13,88,56,1.2,TRUE
White Bird in a Blizzard,2014,R,91,55,0.0335,FALSE
The Song,2014,PG-13,116,29,5.5,FALSE
The Equalizer,2014,R,132,61,101.5,FALSE
Two Night Stand,2014,R,86,34,0.0156,FALSE
The Boxtrolls,2014,PG,96,75,50.8,TRUE
Seymour: An Introduction,2014,PG,84,100,0.6,FALSE
Annabelle,2014,R,99,29,84.3,FALSE
Left Behind,2014,PG-13,110,2,14,TRUE
"Like Sunday, Like Rain",2014,R,104,53,0.0276,FALSE
Dead Snow 2: Red vs. Dead,2014,R,100,85,0.0321,TRUE
The Hero of Color City,2014,G,77,25,0.032,TRUE
Kill the Messenger,2014,R,112,77,2.4,TRUE
Addicted,2014,R,106,8,17.4,FALSE
The Judge,2014,R,141,47,47.1,FALSE
Camp X-Ray,2014,R,117,73,0.0098,FALSE
A Matter of Faith,2014,PG,89,0,0.5,TRUE
Fury,2014,R,134,77,85.8,FALSE
The Best of Me,2014,PG-13,118,8,26.8,FALSE
The Sisterhood of Night,2014,PG-13,104,79,0.0053,TRUE
V/H/S: Viral,2014,R,81,36,0.0026,TRUE
The Principle,2014,PG,90,0,0.0862,FALSE
23 Blast,2014,PG-13,98,38,0.5,TRUE
St. Vincent,2014,PG-13,102,77,44.1,FALSE
Before I Go to Sleep,2014,R,92,36,3.2,FALSE
The Overnighters,2014,PG-13,102,98,0.1,FALSE
Life Partners,2014,R,93,62,0.0076,FALSE
Big Hero 6,2014,PG,102,89,222.5,FALSE
Magician: The Astonishing Life and Work of Orson Welles,2014,PG-13,91,73,0.0155,FALSE
Love Is Strange,2014,R,94,94,2.3,TRUE
Dumb and Dumber To,2014,PG-13,109,29,86.2,TRUE
The Good Lie,2014,PG-13,110,88,2.7,FALSE
Beyond the Lights,2014,PG-13,116,81,14.6,FALSE
Birdman: Or (The Unexpected Virtue of Ignorance),2014,R,119,92,42.3,FALSE
Saving Christmas,2014,PG,80,0,2.8,TRUE
The Hunger Games: Mockingjay - Part 1,2014,PG-13,123,65,337.1,FALSE
My Old Lady,2014,PG-13,107,59,4,FALSE
Penguins of Madagascar,2014,PG,92,72,83.3,FALSE
The Green Prince,2014,PG-13,101,78,0.3,FALSE
The One I Wrote for You,2014,PG,110,0,0.0486,FALSE
Exodus: Gods and Kings,2014,PG-13,150,27,65,FALSE
Merchants of Doubt,2014,PG-13,96,85,0.2,TRUE
Annie,2014,PG,118,27,85.9,TRUE
Night at the Museum: Secret of the Tomb,2014,PG,98,50,113.7,TRUE
Wild,2014,R,115,90,37.9,FALSE
Into the Woods,2014,PG,125,71,128,TRUE
The Imitation Game,2014,PG-13,114,89,91.1,FALSE
The Water Diviner,2014,R,111,62,4.2,TRUE
The Woman in Black 2: Angel of Death,2014,PG-13,98,21,26.5,FALSE
Match,2014,R,90,76,0.0305,FALSE
Dear White People,2014,R,108,92,4.4,FALSE
American Sniper,2014,R,132,73,350.1,FALSE
Song One,2014,PG-13,86,36,0.0202,TRUE
Low Down,2014,R,114,51,0.049,TRUE
Red Army,2014,PG,76,96,0.7,FALSE
A Most Violent Year,2014,R,125,90,5.7,FALSE
Black or White,2014,PG-13,121,39,21.6,FALSE
5 to 7,2014,R,95,67,0.1,FALSE
Christian Mingle,2014,PG,103,0,0.0198,TRUE
What We Do in the Shadows,2014,R,86,96,3.3,TRUE
Still Alice,2014,PG-13,101,89,18.7,TRUE
Rudderless,2014,R,105,63,0.056,FALSE
Citizenfour,2014,R,114,98,2.8,FALSE
Serena,2014,R,109,18,0.2,FALSE
Maps to the Stars,2014,R,111,61,0.3,FALSE
Keep on Keepin' On,2014,R,84,97,0.2,FALSE
Zombeavers,2014,R,85,66,0.0149,TRUE
While We're Young,2014,R,97,84,7.5,TRUE
Lambert & Stamp,2014,R,117,86,0.0333,TRUE
Kill Me Three Times,2014,R,90,9,0.0238,FALSE
Clouds of Sils Maria,2014,R,124,89,1.8,TRUE
Beyond the Reach,2014,R,91,34,0.0446,FALSE
Unfriended,2014,R,83,61,32.4,FALSE
Skin Trade,2014,R,96,20,0.0012,FALSE
Adult Beginners,2014,R,92,44,0.1,FALSE
Welcome to Me,2014,R,87,70,0.3,TRUE
The Seven Five,2014,R,104,78,0.0296,FALSE
Good Kill,2014,R,102,75,0.3,TRUE
Every Secret Thing,2014,R,93,26,0.097,FALSE
Sunshine Superman,2014,PG,100,89,0.0557,TRUE
Heaven Knows What,2014,R,94,86,0.0702,TRUE
Infinitely Polar Bear,2014,R,90,81,0.4,FALSE
Love & Mercy,2014,PG-13,121,89,7.2,FALSE
Blackhat,2015,R,133,34,7.8,FALSE
Strange Magic,2015,PG,99,18,12.4,TRUE
The Hunting Ground,2015,PG-13,90,92,0.4,FALSE
Americons,2015,R,88,14,0.0144,TRUE
Jupiter Ascending,2015,PG-13,127,25,47.4,FALSE
"McFarland, USA",2015,PG,129,79,44.5,FALSE
Hot Tub Time Machine 2,2015,R,93,14,12.3,TRUE
The DUFF,2015,PG-13,101,72,34,FALSE
Focus,2015,R,105,56,53.8,FALSE
Chappie,2015,R,120,31,31.6,TRUE
Unfinished Business,2015,R,91,11,10.2,FALSE
Hayride 2,2015,R,92,0,0.0017,FALSE
The Second Best Exotic Marigold Hotel,2015,PG,122,62,33.1,FALSE
David and Goliath,2015,PG,92,0,0.2,FALSE
Cinderella,2015,PG,105,85,200.6,TRUE
Insurgent,2015,PG-13,119,30,130,FALSE
Do You Believe?,2015,PG-13,120,18,13,FALSE
Home,2015,PG,94,46,171.9,TRUE
Get Hard,2015,R,100,29,90.2,FALSE
Beyond the Mask,2015,PG,103,22,1,FALSE
Freetown,2015,PG-13,113,38,7.9,TRUE
Danny Collins,2015,R,106,78,5.6,TRUE
Woman in Gold,2015,PG-13,109,53,33,FALSE
Paul Blart: Mall Cop 2,2015,PG,94,6,68.4,TRUE
Child 44,2015,R,137,24,1.2,TRUE
Monkey Kingdom,2015,G,81,94,16.3,TRUE
True Story,2015,R,99,48,6.6,FALSE
The Age of Adaline,2015,PG-13,112,54,42.6,FALSE
Little Boy,2015,PG-13,106,18,6.4,TRUE
Barely Lethal,2015,PG-13,96,16,0.0049,FALSE
Avengers: Age of Ultron,2015,PG-13,141,74,454.2,FALSE
Hot Pursuit,2015,PG-13,87,7,33.4,TRUE
Maggie,2015,PG-13,95,51,0.2,FALSE
The D Train,2015,R,101,43,0.7,FALSE
Mad Max: Fury Road,2015,R,120,98,149,FALSE
Pitch Perfect 2,2015,PG-13,115,66,160.9,FALSE
Poltergeist,2015,PG-13,93,31,46.1,TRUE
Tomorrowland,2015,PG,130,50,91,FALSE
Far from the Madding Crowd,2015,PG-13,119,85,9.9,TRUE
Aloha,2015,PG-13,105,20,19,TRUE
Insidious: Chapter 3,2015,PG-13,97,58,22.7,FALSE
Me and Earl and the Dying Girl,2015,PG-13,105,82,1.9,TRUE
Jurassic World,2015,PG-13,124,71,556.5,FALSE
The Overnight,2015,R,79,81,0.6,FALSE
Dope,2015,R,103,89,11.7,FALSE
Ted 2,2015,R,115,46,58.5,FALSE
L.A. Slasher,2015,R,86,0,0.0024,FALSE
Magic Mike XXL,2015,R,115,64,27.9,FALSE
